Date,First Dose Daily Avg,Second Dose Daily Avg
2021-05-01,1084926.2857142857,1477787.857142857
2021-04-30,1094242.4285714286,1461617.5714285714
2021-04-29,1143219.142857143,1489024.142857143
2021-04-28,1178198.857142857,1493110.7142857143
2021-04-27,1212123.142857143,1503421.142857143
2021-04-26,1235433.5714285714,1503272.5714285714
2021-04-25,1247276.2857142857,1501274.4285714286
2021-04-24,1307220.7142857143,1515269.857142857
2021-04-23,1355970.4285714286,1509453.857142857
2021-04-22,1424023.2857142857,1535355.142857143
2021-04-21,1504030,1558770.5714285714
2021-04-20,1567352.142857143,1557317.5714285714
2021-04-19,1639019.7142857143,1614156.4285714286
2021-04-18,1714949.142857143,1661788
2021-04-17,1764471.4285714286,1682643.7142857143
2021-04-16,1901008.142857143,1772480
2021-04-15,1968036.7142857143,1756452.4285714286
2021-04-14,1988807.2857142857,1751233.4285714286
2021-04-13,1999185.142857143,1757901
2021-04-12,1904723.142857143,1667717.142857143
2021-04-11,1861139.7142857143,1602050.857142857
2021-04-10,1847057.2857142857,1547785.5714285714
2021-04-09,1804468.142857143,1459667.5714285714
2021-04-08,1783042.857142857,1444787
2021-04-07,1771777.7142857143,1402225.2857142857
2021-04-06,1751026.857142857,1370498.5714285714
2021-04-05,1785666.5714285714,1396833.4285714286
2021-04-04,1797680.142857143,1403281.7142857143
2021-04-03,1786535.5714285714,1388053.857142857
2021-04-02,1749362.4285714286,1327087.5714285714
2021-04-01,1745955.5714285714,1238540.2857142857
2021-03-31,1731589.142857143,1177360.857142857
2021-03-30,1730507.2857142857,1127074.857142857
2021-03-29,1749049.4285714286,1100469.2857142857
2021-03-28,1745056.2857142857,1064619.4285714286
2021-03-27,1762929.142857143,1014993
2021-03-26,1761309.142857143,965791.8571428572
2021-03-25,1692558,919766.8571428572
2021-03-24,1686030,910902.7142857143
2021-03-23,1684982.7142857143,927373.8571428572
2021-03-22,1673995.857142857,939359.1428571428
2021-03-21,1661651.2857142857,954565.5714285715
2021-03-20,1497602,872434.4285714285
2021-03-19,1609250.857142857,990638.5714285715
2021-03-18,1632006,1016905.2857142857
